date,Tax,Dip,Correction,Bubble,Bots,Airdrop,Github,Launch,Flippening,Shilling,Marketcap,FOMO_theme,FUD_theme,Fees,(De-)centralisation,Hodling,Whales,Rebranding,Roadmap,Bug,Fork,Wallet,Open_source,Partnerships,Whitepaper,Pump_and_dump,Ban,Community,ICO,Bottom,ETF,Volume,Leverage,Stablecoin,FOMO,Hopeful,Negative,Bearish,Pessimistic/Doubtful,Sad,Fearful/Concerned,Angry,Uncertain,Mistrustful,Panicking,Stressed,Disappointed,Annoyed/Frustrated,Capitulating,Positive,Bullish,Optimistic,Happy,Euphoric/Excited,Trustful,Regulation/Politics,Adoption,Learning,Problems_and_issues,Price,Cheap,Expensive,Volatility,Crash,Recovery,Investing/Trading,Buying,Selling,Going_short,Waiting,Portfolio,Strategy,Due_diligence,Getting_rich,Short_term_trading,Technical_analysis,Long_term_investing,Risk,Institutional_money,Banks,Hacks,Scam/Fraud,Market_manipulation,Announcements,Progress,Marketing,Exchanges,Listing,Governance,Use_case/Applications,Market_potential,Business_model,Vision/Mission,Competition,Team,Token_economics,Transparency,Technology,Scaling,Security,Privacy,Mining,Prediction,Warning,Announcement,Rumor,Advice/Support,Newbie_comment,Spam,Price_report,News_headline,Good_news,Bad_news
2017-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,13.0,18.0,5.0,3.0,1.0,1.0,12.0,2.0,12.0,1.0,6.0,31.0,0.0,0.0,30.0,15.0,0.0,15.0,3.0,2.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,6.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,18.0,5.0,0.0,5.0,0.0,0.0,0.0,19.0,6.0,1.0,0.0,60.0,1.0,2.0,31.0,21.0,5.0,0.0,3.0,0.0,12.0,0.0,20.0,6.0,78.0,28.0,6.0
2017-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,15.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,11.0,13.0,5.0,3.0,0.0,3.0,14.0,2.0,12.0,0.0,1.0,35.0,1.0,0.0,26.0,16.0,0.0,13.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,26.0,1.0,0.0,13.0,1.0,0.0,0.0,22.0,11.0,4.0,0.0,66.0,1.0,1.0,20.0,24.0,6.0,0.0,4.0,0.0,4.0,0.0,19.0,10.0,79.0,33.0,15.0
2017-04-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,14.0,20.0,10.0,6.0,0.0,3.0,3.0,1.0,10.0,0.0,7.0,46.0,2.0,1.0,22.0,6.0,0.0,15.0,6.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,13.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,5.0,0.0,30.0,1.0,0.0,14.0,0.0,0.0,0.0,14.0,3.0,1.0,0.0,41.0,0.0,1.0,25.0,9.0,13.0,0.0,1.0,0.0,5.0,0.0,15.0,11.0,49.0,11.0,3.0
2017-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,12.0,25.0,12.0,5.0,1.0,2.0,6.0,3.0,13.0,1.0,2.0,61.0,0.0,0.0,23.0,10.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,15.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,21.0,6.0,0.0,12.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,47.0,0.0,0.0,27.0,16.0,20.0,0.0,3.0,0.0,8.0,0.0,12.0,9.0,109.0,48.0,14.0
2017-04-14,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,14.0,11.0,2.0,2.0,0.0,2.0,11.0,1.0,21.0,2.0,2.0,31.0,0.0,0.0,30.0,12.0,0.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,17.0,2.0,0.0,5.0,0.0,0.0,0.0,25.0,7.0,1.0,0.0,63.0,11.0,1.0,30.0,16.0,3.0,0.0,4.0,0.0,11.0,0.0,13.0,6.0,78.0,48.0,2.0
2017-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,9.0,12.0,4.0,2.0,0.0,0.0,5.0,2.0,13.0,2.0,2.0,39.0,0.0,0.0,13.0,6.0,0.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,31.0,2.0,1.0,16.0,7.0,8.0,0.0,0.0,0.0,11.0,0.0,7.0,14.0,32.0,17.0,1.0
2017-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,13.0,15.0,3.0,10.0,0.0,3.0,3.0,2.0,6.0,0.0,1.0,34.0,0.0,0.0,15.0,4.0,0.0,13.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,5.0,1.0,0.0,0.0,10.0,8.0,1.0,0.0,37.0,2.0,3.0,16.0,7.0,7.0,0.0,0.0,0.0,10.0,0.0,9.0,11.0,49.0,15.0,1.0
2017-04-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,16.0,20.0,4.0,6.0,3.0,4.0,3.0,0.0,16.0,0.0,1.0,29.0,1.0,0.0,18.0,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,6.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,9.0,1.0,0.0,4.0,1.0,0.0,0.0,25.0,3.0,0.0,0.0,48.0,0.0,2.0,28.0,4.0,6.0,0.0,1.0,0.0,5.0,0.0,8.0,9.0,64.0,40.0,13.0
2017-04-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,12.0,27.0,17.0,7.0,1.0,3.0,9.0,0.0,20.0,1.0,2.0,55.0,1.0,0.0,28.0,13.0,0.0,24.0,9.0,5.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,18.0,3.0,0.0,6.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,55.0,1.0,1.0,28.0,16.0,16.0,0.0,3.0,0.0,17.0,0.0,17.0,11.0,62.0,33.0,3.0
2017-04-19,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,14.0,30.0,11.0,8.0,0.0,3.0,8.0,2.0,26.0,3.0,4.0,46.0,1.0,0.0,36.0,11.0,0.0,37.0,10.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,6.0,20.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,0.0,25.0,3.0,0.0,17.0,0.0,0.0,0.0,23.0,3.0,3.0,0.0,75.0,0.0,1.0,24.0,16.0,13.0,0.0,6.0,0.0,19.0,0.0,22.0,9.0,81.0,47.0,16.0
2017-04-20,0.0,1.0,0.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,11.0,29.0,9.0,12.0,0.0,3.0,7.0,2.0,19.0,1.0,6.0,49.0,0.0,1.0,22.0,9.0,0.0,35.0,7.0,10.0,2.0,1.0,9.0,1.0,8.0,0.0,4.0,17.0,12.0,0.0,0.0,1.0,1.0,4.0,0.0,17.0,23.0,0.0,51.0,8.0,0.0,19.0,2.0,0.0,0.0,23.0,5.0,11.0,0.0,86.0,1.0,8.0,29.0,12.0,14.0,0.0,17.0,0.0,16.0,0.0,16.0,11.0,138.0,85.0,6.0
2017-04-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,24.0,25.0,12.0,6.0,0.0,4.0,14.0,1.0,23.0,1.0,11.0,48.0,0.0,0.0,47.0,17.0,0.0,32.0,7.0,6.0,0.0,0.0,24.0,0.0,4.0,4.0,4.0,15.0,16.0,1.0,17.0,0.0,0.0,2.0,1.0,6.0,6.0,7.0,38.0,3.0,0.0,16.0,1.0,0.0,0.0,24.0,1.0,3.0,0.0,83.0,0.0,1.0,44.0,22.0,15.0,1.0,6.0,0.0,20.0,0.0,25.0,5.0,113.0,52.0,7.0
2017-04-22,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,7.0,0.0,11.0,13.0,4.0,1.0,0.0,1.0,8.0,1.0,18.0,1.0,2.0,28.0,0.0,0.0,23.0,8.0,0.0,14.0,3.0,1.0,1.0,1.0,4.0,0.0,8.0,0.0,1.0,3.0,9.0,1.0,0.0,1.0,0.0,10.0,1.0,2.0,3.0,0.0,15.0,2.0,0.0,10.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,46.0,0.0,1.0,29.0,10.0,7.0,0.0,2.0,0.0,7.0,0.0,10.0,9.0,64.0,27.0,5.0
2017-04-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,12.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,8.0,28.0,17.0,3.0,0.0,2.0,5.0,0.0,8.0,2.0,1.0,48.0,0.0,0.0,13.0,5.0,0.0,25.0,6.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0,8.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,0.0,5.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,25.0,1.0,0.0,12.0,9.0,23.0,1.0,2.0,0.0,18.0,0.0,11.0,9.0,47.0,15.0,0.0
2017-04-24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,9.0,0.0,22.0,33.0,14.0,7.0,3.0,2.0,7.0,6.0,40.0,5.0,1.0,67.0,0.0,0.0,30.0,10.0,0.0,43.0,8.0,9.0,0.0,0.0,6.0,1.0,20.0,1.0,1.0,14.0,15.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,22.0,2.0,0.0,9.0,0.0,0.0,0.0,31.0,6.0,2.0,0.0,70.0,0.0,2.0,41.0,12.0,16.0,0.0,2.0,0.0,13.0,0.0,12.0,10.0,74.0,51.0,18.0
2017-04-25,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,16.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,4.0,0.0,13.0,23.0,10.0,6.0,1.0,3.0,10.0,18.0,24.0,3.0,2.0,54.0,0.0,0.0,30.0,11.0,0.0,22.0,7.0,7.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,10.0,14.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,23.0,2.0,0.0,12.0,1.0,0.0,0.0,25.0,9.0,3.0,0.0,60.0,1.0,1.0,26.0,13.0,14.0,1.0,2.0,0.0,13.0,0.0,19.0,13.0,98.0,44.0,11.0
2017-04-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,9.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,6.0,2.0,11.0,0.0,26.0,4.0,0.0,0.0,11.0,3.0,17.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,14.0,0.0,28.0,51.0,25.0,9.0,3.0,8.0,13.0,18.0,34.0,1.0,2.0,95.0,2.0,0.0,44.0,16.0,0.0,40.0,13.0,4.0,1.0,2.0,3.0,1.0,21.0,1.0,0.0,18.0,14.0,1.0,22.0,5.0,1.0,5.0,0.0,2.0,1.0,0.0,40.0,6.0,0.0,27.0,1.0,0.0,0.0,31.0,12.0,1.0,0.0,88.0,0.0,2.0,48.0,20.0,31.0,1.0,2.0,8.0,21.0,0.0,22.0,19.0,140.0,78.0,22.0
